State,Capital city,Second city,Third city
Alabama,Montgomery,Auburn,Huntsville
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Scottsdale,Tuscon
Arkansas,Little Rock,Fayetteville,Bentonville
California,Sacramento,Los Angeles,Palo Alto
Colorado,Denver,Breckinridge,Colorado Springs
Connecticut,Hartford,New Haven,Stamford
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Maimi,Fort Lauderdale
Georgia,Atlanta,Savannah,Augusta
Hawaii,Honolulu,Hilo,Hawi
Idaho,Boise,Twin Falls,Meridian
Illinois,Springfield,Chicago,Peoria
Indiana,Indianapolis,Fort Wayne,Bloomington
Iowa,Des Moines,Cedar Rapids,Dubuque
Kansas,Topeka,Kansas City,Wichita
Kentucky,Frankfort,Louisville,Lexington
Louisiana,Baton Rouge,New Orleans,Lafayette
Maine,Augusta,Portland,Bar Harbor
Maryland,Annapolis,Baltimore,Rockville
Massachusetts,Boston,Cambridge,Salem
Michigan,Lansing,Ann Arbor,Detroit
Minnesota,Saint Paul,Minneapolis,Duluth
Mississippi,Jackson,Biloxi,Hattiesburg
Missouri,Jefferson City,Kansas City,St. Louis
Montana,Helena,Billings ,Missoula
Nebraska,Lincoln,Omaha,Grand Island
Nevada,Carson City,Las Vegas,Reno
New Hampshire,Concord,Manchester,Portsmouth
New Jersey,Trenton,Newark,Prinston
New Mexico,Santa Fe,Albuquerque,Las Cruces
New York,Albany,New York City,Buffalo
North Carolina,Raleigh,Durham,Chapel Hill
North Dakota,Bismarck,Fargo,Minot
Ohio,Columbus,Cincinnati,Cleveland
Oklahoma,Oklahoma City,Tulsa,Norman
Oregon,Salem,Portland,Salem
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode Island,Providence,Newport,Warwick
South Carolina,Columbia,Greenville,Charleston
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Mephis,Murfreesboro
Texas,Austin,Dallas,El Paso
Utah,Salt Lake City,Provo,Park City
Vermont,Montpelier,Burlington,Woodstock
Virginia,Richmond,Norfolk,Roanoke
Washington,Olympia,Seattle,Olympia
West Virginia,Charleston,Huntington ,Beckley
Wisconsin,Madison,Milwaukee,Green Bay
Wyoming,Cheyenne,Jackson,Casper
